新加坡,#genre#
Al-Hijrah (Back up 1),http://45.207.205.213:19890/trams/2723/playlist.m3u8?token=abcdsoooyu888
Quran,http://45.207.205.213:19890/trams/2843/playlist.m3u8?token=abcdsoooyu888
Sunnah,http://45.207.205.213:19890/trams/2844/playlist.m3u8?token=abcdsoooyu888
Bernama,http://45.207.205.213:19890/trams/27/playlist.m3u8?token=abcdsoooyu888
Awani,http://45.207.205.213:19890/trams/26/playlist.m3u8?token=abcdsoooyu888
Ceria,http://45.207.205.213:19890/trams/2650/playlist.m3u8?token=abcdsoooyu888
Oasis,http://45.207.205.213:19890/trams/1465/playlist.m3u8?token=abcdsoooyu888
Boo,http://45.207.205.213:19890/trams/2253/playlist.m3u8?token=abcdsoooyu888
Citra,http://45.207.205.213:19890/trams/2718/playlist.m3u8?token=abcdsoooyu888
Citra backup,http://45.207.205.213:19890/trams/2818/playlist.m3u8?token=abcdsoooyu888
Prima,http://45.207.205.213:19890/trams/1466/playlist.m3u8?token=abcdsoooyu888
Prima backup,http://45.207.205.213:19890/trams/2658/playlist.m3u8?token=abcdsoooyu888
Prima backup_1,http://45.207.205.213:19890/trams/2924/playlist.m3u8?token=abcdsoooyu888
Ria,http://45.207.205.213:19890/trams/2621/playlist.m3u8?token=abcdsoooyu888
Ria-3,http://45.207.205.213:19890/trams/2773/playlist.m3u8?token=abcdsoooyu888
Ria backup_1,http://45.207.205.213:19890/trams/2925/playlist.m3u8?token=abcdsoooyu888
Awesome TV,http://45.207.205.213:19890/trams/2012/playlist.m3u8?token=abcdsoooyu888
Aura,http://45.207.205.213:19890/trams/2744/playlist.m3u8?token=abcdsoooyu888
Sensasi,http://45.207.205.213:19890/trams/2750/playlist.m3u8?token=abcdsoooyu888
Siar,http://45.207.205.213:19890/trams/2786/playlist.m3u8?token=abcdsoooyu888
Rania,http://45.207.205.213:19890/trams/2687/playlist.m3u8?token=abcdsoooyu888
Astro Rusi,http://45.207.205.213:19890/trams/2836/playlist.m3u8?token=abcdsoooyu888
WION,http://45.207.205.213:19890/trams/2837/playlist.m3u8?token=abcdsoooyu888
Astro MTV,http://45.207.205.213:19890/trams/2775/playlist.m3u8?token=abcdsoooyu888
NatGeo_Wild HD,http://45.207.205.213:19890/trams/1255/playlist.m3u8?token=abcdsoooyu888
Animal_Planet,http://45.207.205.213:19890/trams/474/playlist.m3u8?token=abcdsoooyu888
HBO Family,http://45.207.205.213:19890/trams/2711/playlist.m3u8?token=abcdsoooyu888
Showcase,http://45.207.205.213:19890/trams/2528/playlist.m3u8?token=abcdsoooyu888
RTM Asean,http://45.207.205.213:19890/trams/2838/playlist.m3u8?token=abcdsoooyu888
HGTV,http://45.207.205.213:19890/trams/2508/playlist.m3u8?token=abcdsoooyu888
TLC,http://45.207.205.213:19890/trams/1595/playlist.m3u8?token=abcdsoooyu888
Foodnetwork Hd,http://45.207.205.213:19890/trams/2615/playlist.m3u8?token=abcdsoooyu888
Axn HD,http://45.207.205.213:19890/trams/1023/playlist.m3u8?token=abcdsoooyu888
HBO HD,http://45.207.205.213:19890/trams/1015/playlist.m3u8?token=abcdsoooyu888
HBO Signature,http://45.207.205.213:19890/trams/2722/playlist.m3u8?token=abcdsoooyu888
Astro Badminton,http://45.207.205.213:19890/trams/2832/playlist.m3u8?token=abcdsoooyu888
HBO Hits,http://45.207.205.213:19890/trams/2782/playlist.m3u8?token=abcdsoooyu888
Dreamworks,http://45.207.205.213:19890/trams/2785/playlist.m3u8?token=abcdsoooyu888
Astro Badminton 2,http://45.207.205.213:19890/trams/2833/playlist.m3u8?token=abcdsoooyu888
Nickelodeon,http://45.207.205.213:19890/trams/1985/playlist.m3u8?token=abcdsoooyu888
Nick Jr,http://45.207.205.213:19890/trams/1986/playlist.m3u8?token=abcdsoooyu888
Cartoon Network,http://45.207.205.213:19890/trams/959/playlist.m3u8?token=abcdsoooyu888
Asia Food Network,http://45.207.205.213:19890/trams/1042/playlist.m3u8?token=abcdsoooyu888
Animal Planet (Eng),http://45.207.205.213:19890/trams/2011/playlist.m3u8?token=abcdsoooyu888
NatGeo Wild HD,http://45.207.205.213:19890/trams/2106/playlist.m3u8?token=abcdsoooyu888
TvN,http://45.207.205.213:19890/trams/2123/playlist.m3u8?token=abcdsoooyu888
KBS World,http://45.207.205.213:19890/trams/2629/playlist.m3u8?token=abcdsoooyu888
Sony HD,http://45.207.205.213:19890/trams/2340/playlist.m3u8?token=abcdsoooyu888
tvN Movie,http://45.207.205.213:19890/trams/2300/playlist.m3u8?token=abcdsoooyu888
Astrol Kplus,http://45.207.205.213:19890/trams/2697/playlist.m3u8?token=abcdsoooyu888
One,http://45.207.205.213:19890/trams/2294/playlist.m3u8?token=abcdsoooyu888
AEC,http://45.207.205.213:19890/trams/38/playlist.m3u8?token=abcdsoooyu888
AOD,http://45.207.205.213:19890/trams/2688/playlist.m3u8?token=abcdsoooyu888
华丽台 HD (Wah Lai Toi),http://45.207.205.213:19890/trams/1077/playlist.m3u8?token=abcdsoooyu888
欢喜台 HD(Hua Hee Tai),http://45.207.205.213:19890/trams/1076/playlist.m3u8?token=abcdsoooyu888
Astro QJ,http://45.207.205.213:19890/trams/1623/playlist.m3u8?token=abcdsoooyu888
TVB Jade,http://45.207.205.213:19890/trams/2728/playlist.m3u8?token=abcdsoooyu888
爱奇艺 iQiyi,http://45.207.205.213:19890/trams/1889/playlist.m3u8?token=abcdsoooyu888
TVB 星河台  Xing He,http://45.207.205.213:19890/trams/1050/playlist.m3u8?token=abcdsoooyu888
Discovery Asia,http://45.207.205.213:19890/trams/2888/playlist.m3u8?token=abcdsoooyu888
Dmax,http://45.207.205.213:19890/trams/2889/playlist.m3u8?token=abcdsoooyu888
TVB Asia,http://45.207.205.213:19890/trams/2729/playlist.m3u8?token=abcdsoooyu888
TVB Entertainment,http://45.207.205.213:19890/trams/2730/playlist.m3u8?token=abcdsoooyu888
TVB Classic,http://45.207.205.213:19890/trams/2731/playlist.m3u8?token=abcdsoooyu888
Celestial Classic,http://45.207.205.213:19890/trams/1587/playlist.m3u8?token=abcdsoooyu888
Celestial Movies HD,http://45.207.205.213:19890/trams/1941/playlist.m3u8?token=abcdsoooyu888
Eurosport,http://45.207.205.213:19890/trams/2890/playlist.m3u8?token=abcdsoooyu888
Rock Actions,http://45.207.205.213:19890/trams/2713/playlist.m3u8?token=abcdsoooyu888
Rock Entertainment,http://45.207.205.213:19890/trams/2714/playlist.m3u8?token=abcdsoooyu888
Bollyone,http://45.207.205.213:19890/trams/2693/playlist.m3u8?token=abcdsoooyu888
Astro Sunmusic,http://45.207.205.213:19890/trams/2694/playlist.m3u8?token=abcdsoooyu888
Thangathirai,http://45.207.205.213:19890/trams/2841/playlist.m3u8?token=abcdsoooyu888
Vinmeen,http://45.207.205.213:19890/trams/2842/playlist.m3u8?token=abcdsoooyu888
Vellithirai,http://45.207.205.213:19890/trams/2816/playlist.m3u8?token=abcdsoooyu888
Arena,http://45.207.205.213:19890/trams/2651/playlist.m3u8?token=abcdsoooyu888
Arena 2,http://45.207.205.213:19890/trams/2710/playlist.m3u8?token=abcdsoooyu888
Arena Bola 1,http://45.207.205.213:19890/trams/2691/playlist.m3u8?token=abcdsoooyu888
Arena Bola 2,http://45.207.205.213:19890/trams/2781/playlist.m3u8?token=abcdsoooyu888
RTM Sports HD,http://45.207.205.213:19890/trams/1745/playlist.m3u8?token=abcdsoooyu888
Astro LOL,http://45.207.205.213:19890/trams/2835/playlist.m3u8?token=abcdsoooyu888
Al_Jazeera,http://45.207.205.213:19890/trams/2893/playlist.m3u8?token=abcdsoooyu888
CNN,http://45.207.205.213:19890/trams/2715/playlist.m3u8?token=abcdsoooyu888
CNN backup,http://45.207.205.213:19890/trams/2074/playlist.m3u8?token=abcdsoooyu888
BBC World News,http://45.207.205.213:19890/trams/2113/playlist.m3u8?token=abcdsoooyu888
CNBC,http://45.207.205.213:19890/trams/265/playlist.m3u8?token=abcdsoooyu888
Bloomberg TV,http://45.207.205.213:19890/trams/2884/playlist.m3u8?token=abcdsoooyu888
CNA,http://45.207.205.213:19890/trams/677/playlist.m3u8?token=abcdsoooyu888
DW,http://45.207.205.213:19890/trams/2886/playlist.m3u8?token=abcdsoooyu888
France 24,http://45.207.205.213:19890/trams/2887/playlist.m3u8?token=abcdsoooyu888
Skynews,http://45.207.205.213:19890/trams/2891/playlist.m3u8?token=abcdsoooyu888
NHK Premium,http://45.207.205.213:19890/trams/2892/playlist.m3u8?token=abcdsoooyu888
Siar backup,http://45.207.205.213:19890/trams/2930/playlist.m3u8?token=abcdsoooyu888
体育竞技,#genre#
Astro PL 1,http://45.207.205.213:19890/trams/1788/playlist.m3u8?token=abcdsoooyu888
Astro PL 1 (Back Up 1),http://45.207.205.213:19890/trams/2820/playlist.m3u8?token=abcdsoooyu888
Astro PL 1 (Back Up 2),http://45.207.205.213:19890/trams/2839/playlist.m3u8?token=abcdsoooyu888
Astro PL 2,http://45.207.205.213:19890/trams/2821/playlist.m3u8?token=abcdsoooyu888
Supersports 2,http://45.207.205.213:19890/trams/1789/playlist.m3u8?token=abcdsoooyu888
Astro Grandstand,http://45.207.205.213:19890/trams/2822/playlist.m3u8?token=abcdsoooyu888
Astro Grandstand (Back Up 1),http://45.207.205.213:19890/trams/1790/playlist.m3u8?token=abcdsoooyu888
Astro Football,http://45.207.205.213:19890/trams/2823/playlist.m3u8?token=abcdsoooyu888
Astro Football (Back Up 1),http://45.207.205.213:19890/trams/1791/playlist.m3u8?token=abcdsoooyu888
Astro W-Sports,http://45.207.205.213:19890/trams/2834/playlist.m3u8?token=abcdsoooyu888
Astro Cricket,http://45.207.205.213:19890/trams/2653/playlist.m3u8?token=abcdsoooyu888
Astro Golf,http://45.207.205.213:19890/trams/2611/playlist.m3u8?token=abcdsoooyu888
Astro Sports Plus,http://45.207.205.213:19890/trams/2610/playlist.m3u8?token=abcdsoooyu888
SPOTV 1 HD,http://45.207.205.213:19890/trams/2709/playlist.m3u8?token=abcdsoooyu888
SPO TV 2,http://45.207.205.213:19890/trams/2628/playlist.m3u8?token=abcdsoooyu888
Astro Beinsports 1,http://45.207.205.213:19890/trams/2825/playlist.m3u8?token=abcdsoooyu888
Astro Beinsports 2,http://45.207.205.213:19890/trams/2826/playlist.m3u8?token=abcdsoooyu888
Astro Beinsports 3,http://45.207.205.213:19890/trams/2827/playlist.m3u8?token=abcdsoooyu888
Astro Badminton,http://45.207.205.213:19890/trams/2832/playlist.m3u8?token=abcdsoooyu888
Astro Badminton 1,http://45.207.205.213:19890/trams/2935/playlist.m3u8?token=abcdsoooyu888
Astro Badminton 2,http://45.207.205.213:19890/trams/2833/playlist.m3u8?token=abcdsoooyu888
Now Sports 616,http://45.207.205.213:19890/trams/2920/playlist.m3u8?token=abcdsoooyu888
Now Sports 617,http://45.207.205.213:19890/trams/2921/playlist.m3u8?token=abcdsoooyu888
Elta体育1台,http://45.207.205.213:19890/trams/2871/playlist.m3u8?token=abcdsoooyu888
Elta體育2台,http://45.207.205.213:19890/trams/1541/playlist.m3u8?token=abcdsoooyu888
Elta體育3台,http://45.207.205.213:19890/trams/2578/playlist.m3u8?token=abcdsoooyu888
Elta体育4台,http://45.207.205.213:19890/trams/2922/playlist.m3u8?token=abcdsoooyu888
NBA TV,http://45.207.205.213:19890/trams/1694/playlist.m3u8?token=abcdsoooyu888
WWE,http://45.207.205.213:19890/trams/1922/playlist.m3u8?token=abcdsoooyu888
Eurosport,http://45.207.205.213:19890/trams/2890/playlist.m3u8?token=abcdsoooyu888
博斯高球2 HD,http://45.207.205.213:19890/trams/2085/playlist.m3u8?token=abcdsoooyu888
博斯网球 HD,http://45.207.205.213:19890/trams/2086/playlist.m3u8?token=abcdsoooyu888
Arena,http://45.207.205.213:19890/trams/2651/playlist.m3u8?token=abcdsoooyu888
Arena 2,http://45.207.205.213:19890/trams/2710/playlist.m3u8?token=abcdsoooyu888
Arena Bola 1,http://45.207.205.213:19890/trams/2691/playlist.m3u8?token=abcdsoooyu888
Arena Bola 2,http://45.207.205.213:19890/trams/2781/playlist.m3u8?token=abcdsoooyu888
RTM Sports HD,http://45.207.205.213:19890/trams/1745/playlist.m3u8?token=abcdsoooyu888
TVRi National,http://45.207.205.213:19890/trams/1622/playlist.m3u8?token=abcdsoooyu888
CCTV-5 體育,http://45.207.205.213:19890/trams/1631/playlist.m3u8?token=abcdsoooyu888
CCTV-5+ 體育,http://45.207.205.213:19890/trams/890/playlist.m3u8?token=abcdsoooyu888
Tnt Sports 1,http://45.207.205.213:19890/trams/2764/playlist.m3u8?token=abcdsoooyu888
TNT Sports 2,http://45.207.205.213:19890/trams/2765/playlist.m3u8?token=abcdsoooyu888
TNT Sports 3,http://45.207.205.213:19890/trams/2766/playlist.m3u8?token=abcdsoooyu888
TNT Sports 4,http://45.207.205.213:19890/trams/2767/playlist.m3u8?token=abcdsoooyu888
DAZN 1,http://45.207.205.213:19890/trams/2869/playlist.m3u8?token=abcdsoooyu888
DAZN 2,http://45.207.205.213:19890/trams/2870/playlist.m3u8?token=abcdsoooyu888
Rugby Pass TV,http://45.207.205.213:19890/trams/2695/playlist.m3u8?token=abcdsoooyu888
Skysports Cricket,http://45.207.205.213:19890/trams/2861/playlist.m3u8?token=abcdsoooyu888
Skysports EPL,http://45.207.205.213:19890/trams/2862/playlist.m3u8?token=abcdsoooyu888
Skysports F1,http://45.207.205.213:19890/trams/2863/playlist.m3u8?token=abcdsoooyu888
Skysports Golf,http://45.207.205.213:19890/trams/2864/playlist.m3u8?token=abcdsoooyu888
Skysports Main Event,http://45.207.205.213:19890/trams/2865/playlist.m3u8?token=abcdsoooyu888
Skysports Mix,http://45.207.205.213:19890/trams/2866/playlist.m3u8?token=abcdsoooyu888
Skysports Racing,http://45.207.205.213:19890/trams/2867/playlist.m3u8?token=abcdsoooyu888
Skysports Football,http://45.207.205.213:19890/trams/2931/playlist.m3u8?token=abcdsoooyu888
Skysports News,http://45.207.205.213:19890/trams/2932/playlist.m3u8?token=abcdsoooyu888
Skysports Arena,http://45.207.205.213:19890/trams/2933/playlist.m3u8?token=abcdsoooyu888
Skysports Action,http://45.207.205.213:19890/trams/2934/playlist.m3u8?token=abcdsoooyu888
Unifi World Cup,http://45.207.205.213:19890/trams/2923/playlist.m3u8?token=abcdsoooyu888
Unifi World Cup 2 HD,http://45.207.205.213:19890/trams/2915/playlist.m3u8?token=abcdsoooyu888
Unifi World Cup 3 HD,http://45.207.205.213:19890/trams/2916/playlist.m3u8?token=abcdsoooyu888
印度尼西亚,#genre#
RCTI,http://45.207.205.213:19890/trams/47/playlist.m3u8?token=abcdsoooyu888
Kompass TV,http://45.207.205.213:19890/trams/43/playlist.m3u8?token=abcdsoooyu888
Berita Satu,http://45.207.205.213:19890/trams/2066/playlist.m3u8?token=abcdsoooyu888
Indosiar HD,http://45.207.205.213:19890/trams/1032/playlist.m3u8?token=abcdsoooyu888
Metro TV,http://45.207.205.213:19890/trams/1014/playlist.m3u8?token=abcdsoooyu888
SCTV,http://45.207.205.213:19890/trams/44/playlist.m3u8?token=abcdsoooyu888
AnTV,http://45.207.205.213:19890/trams/2064/playlist.m3u8?token=abcdsoooyu888
MNC TV,http://45.207.205.213:19890/trams/1887/playlist.m3u8?token=abcdsoooyu888
Trans 7,http://45.207.205.213:19890/trams/2065/playlist.m3u8?token=abcdsoooyu888
Transtv,http://45.207.205.213:19890/trams/2005/playlist.m3u8?token=abcdsoooyu888
JTV,http://45.207.205.213:19890/trams/2069/playlist.m3u8?token=abcdsoooyu888
Cinemax,http://45.207.205.213:19890/trams/2732/playlist.m3u8?token=abcdsoooyu888
Tvone,http://45.207.205.213:19890/trams/2006/playlist.m3u8?token=abcdsoooyu888
TVMU,http://45.207.205.213:19890/trams/2061/playlist.m3u8?token=abcdsoooyu888
GTV,http://45.207.205.213:19890/trams/2263/playlist.m3u8?token=abcdsoooyu888
RTV,http://45.207.205.213:19890/trams/2606/playlist.m3u8?token=abcdsoooyu888
Jak TV,http://45.207.205.213:19890/trams/2264/playlist.m3u8?token=abcdsoooyu888
iNews TV,http://45.207.205.213:19890/trams/2265/playlist.m3u8?token=abcdsoooyu888
Daai TV,http://45.207.205.213:19890/trams/2266/playlist.m3u8?token=abcdsoooyu888
Net TV,http://45.207.205.213:19890/trams/2267/playlist.m3u8?token=abcdsoooyu888
Animax,http://45.207.205.213:19890/trams/2291/playlist.m3u8?token=abcdsoooyu888
EWTN,http://45.207.205.213:19890/trams/2268/playlist.m3u8?token=abcdsoooyu888
AlQuran AlKareem,http://45.207.205.213:19890/trams/2270/playlist.m3u8?token=abcdsoooyu888
Tawaf TV,http://45.207.205.213:19890/trams/2271/playlist.m3u8?token=abcdsoooyu888
Vision Prime,http://45.207.205.213:19890/trams/2272/playlist.m3u8?token=abcdsoooyu888
Muslim TV,http://45.207.205.213:19890/trams/2273/playlist.m3u8?token=abcdsoooyu888
Music TV,http://45.207.205.213:19890/trams/2275/playlist.m3u8?token=abcdsoooyu888
Lifestyle&amp;Fashion,http://45.207.205.213:19890/trams/2276/playlist.m3u8?token=abcdsoooyu888
Entertain,http://45.207.205.213:19890/trams/2304/playlist.m3u8?token=abcdsoooyu888
Hits,http://45.207.205.213:19890/trams/2292/playlist.m3u8?token=abcdsoooyu888
Warner TV,http://45.207.205.213:19890/trams/2293/playlist.m3u8?token=abcdsoooyu888
SCM,http://45.207.205.213:19890/trams/2295/playlist.m3u8?token=abcdsoooyu888
Thrill,http://45.207.205.213:19890/trams/2297/playlist.m3u8?token=abcdsoooyu888
Hits Movie,http://45.207.205.213:19890/trams/2299/playlist.m3u8?token=abcdsoooyu888
tvN Movie,http://45.207.205.213:19890/trams/2300/playlist.m3u8?token=abcdsoooyu888
One,http://45.207.205.213:19890/trams/2294/playlist.m3u8?token=abcdsoooyu888
天映頻道Celestial Movies,http://45.207.205.213:19890/trams/2427/playlist.m3u8?token=abcdsoooyu888
Rock Actions,http://45.207.205.213:19890/trams/2713/playlist.m3u8?token=abcdsoooyu888
Rock Entertainment,http://45.207.205.213:19890/trams/2714/playlist.m3u8?token=abcdsoooyu888
TVRi National,http://45.207.205.213:19890/trams/1622/playlist.m3u8?token=abcdsoooyu888
Diar_Indo,http://45.207.205.213:19890/trams/2896/playlist.m3u8?token=abcdsoooyu888
中国,#genre#
CCTV-1 綜合,http://45.207.205.213:19890/trams/710/playlist.m3u8?token=abcdsoooyu888
CCTV-2 財經,http://45.207.205.213:19890/trams/711/playlist.m3u8?token=abcdsoooyu888
CCTV-3 綜藝,http://45.207.205.213:19890/trams/712/playlist.m3u8?token=abcdsoooyu888
CCTV-4 中文國際,http://45.207.205.213:19890/trams/2626/playlist.m3u8?token=abcdsoooyu888
CCTV-4 中文國際 (備:1),http://45.207.205.213:19890/trams/1515/playlist.m3u8?token=abcdsoooyu888
CCTV-6 電影,http://45.207.205.213:19890/trams/501/playlist.m3u8?token=abcdsoooyu888
CCTV-7 軍事農業,http://45.207.205.213:19890/trams/717/playlist.m3u8?token=abcdsoooyu888
CCTV-8 電視劇,http://45.207.205.213:19890/trams/718/playlist.m3u8?token=abcdsoooyu888
CCTV-9 紀錄,http://45.207.205.213:19890/trams/719/playlist.m3u8?token=abcdsoooyu888
CCTV-10 科教,http://45.207.205.213:19890/trams/720/playlist.m3u8?token=abcdsoooyu888
CCTV-11 戲曲,http://45.207.205.213:19890/trams/721/playlist.m3u8?token=abcdsoooyu888
CCTV-12 社會與法,http://45.207.205.213:19890/trams/722/playlist.m3u8?token=abcdsoooyu888
CCTV-14 少兒,http://45.207.205.213:19890/trams/2013/playlist.m3u8?token=abcdsoooyu888
CCTV-15 音樂,http://45.207.205.213:19890/trams/726/playlist.m3u8?token=abcdsoooyu888
湖南卫视,http://45.207.205.213:19890/trams/690/playlist.m3u8?token=abcdsoooyu888
浙江卫视,http://45.207.205.213:19890/trams/693/playlist.m3u8?token=abcdsoooyu888
江苏卫视,http://45.207.205.213:19890/trams/691/playlist.m3u8?token=abcdsoooyu888
CCTV-13 新聞與頻道,http://45.207.205.213:19890/trams/723/playlist.m3u8?token=abcdsoooyu888
深圳卫视,http://45.207.205.213:19890/trams/1832/playlist.m3u8?token=abcdsoooyu888
福建东南卫视,http://45.207.205.213:19890/trams/697/playlist.m3u8?token=abcdsoooyu888
广东南方卫视,http://45.207.205.213:19890/trams/601/playlist.m3u8?token=abcdsoooyu888
广东卫视,http://45.207.205.213:19890/trams/2057/playlist.m3u8?token=abcdsoooyu888
北京卫视,http://45.207.205.213:19890/trams/605/playlist.m3u8?token=abcdsoooyu888
珠江台,http://45.207.205.213:19890/trams/609/playlist.m3u8?token=abcdsoooyu888
广西卫视,http://45.207.205.213:19890/trams/606/playlist.m3u8?token=abcdsoooyu888
CGTN,http://45.207.205.213:19890/trams/2562/playlist.m3u8?token=abcdsoooyu888
湖北卫视,http://45.207.205.213:19890/trams/608/playlist.m3u8?token=abcdsoooyu888
四川卫视,http://45.207.205.213:19890/trams/701/playlist.m3u8?token=abcdsoooyu888
东方卫视,http://45.207.205.213:19890/trams/2229/playlist.m3u8?token=abcdsoooyu888
凤凰卫视,http://45.207.205.213:19890/trams/60/playlist.m3u8?token=abcdsoooyu888
鳳凰資訊,http://45.207.205.213:19890/trams/61/playlist.m3u8?token=abcdsoooyu888
CCTV-5 體育,http://45.207.205.213:19890/trams/1631/playlist.m3u8?token=abcdsoooyu888
CCTV-5+ 體育,http://45.207.205.213:19890/trams/890/playlist.m3u8?token=abcdsoooyu888
CCTV-17农业农村,http://45.207.205.213:19890/trams/cctv17/playlist.m3u8?token=abcdsoooyu888
CCTV-16奥林匹克,http://45.207.205.213:19890/trams/cctv16/playlist.m3u8?token=abcdsoooyu888
香港,#genre#
翡翠台,http://45.207.205.213:19890/trams/1939/playlist.m3u8?token=abcdsoooyu888
翡翠台 (Back up 1),http://45.207.205.213:19890/trams/2831/playlist.m3u8?token=abcdsoooyu888
iNews 互動新聞台,http://45.207.205.213:19890/trams/1619/playlist.m3u8?token=abcdsoooyu888
J 2,http://45.207.205.213:19890/trams/1615/playlist.m3u8?token=abcdsoooyu888
珍珠台,http://45.207.205.213:19890/trams/1617/playlist.m3u8?token=abcdsoooyu888
凤凰香港,http://45.207.205.213:19890/trams/1345/playlist.m3u8?token=abcdsoooyu888
无线财经资讯台,http://45.207.205.213:19890/trams/1820/playlist.m3u8?token=abcdsoooyu888
RHK 31,http://45.207.205.213:19890/trams/1823/playlist.m3u8?token=abcdsoooyu888
VIUTV1,http://45.207.205.213:19890/trams/1825/playlist.m3u8?token=abcdsoooyu888
RHK 32,http://45.207.205.213:19890/trams/2230/playlist.m3u8?token=abcdsoooyu888
Now Sports 616,http://45.207.205.213:19890/trams/2920/playlist.m3u8?token=abcdsoooyu888
Now Sports 617,http://45.207.205.213:19890/trams/2921/playlist.m3u8?token=abcdsoooyu888
凤凰卫视,http://45.207.205.213:19890/trams/60/playlist.m3u8?token=abcdsoooyu888
鳳凰資訊,http://45.207.205.213:19890/trams/61/playlist.m3u8?token=abcdsoooyu888
TVB Asia,http://45.207.205.213:19890/trams/2729/playlist.m3u8?token=abcdsoooyu888
TVB Entertainment,http://45.207.205.213:19890/trams/2730/playlist.m3u8?token=abcdsoooyu888
TVB Classic,http://45.207.205.213:19890/trams/2731/playlist.m3u8?token=abcdsoooyu888
Viu6,http://45.207.205.213:19890/trams/2469/playlist.m3u8?token=abcdsoooyu888
天映頻道,http://45.207.205.213:19890/trams/ctv18_twn/playlist.m3u8?token=abcdsoooyu888
台湾,#genre#
TVBS 歡樂台,http://45.207.205.213:19890/trams/1936/playlist.m3u8?token=abcdsoooyu888
TVBS HD,http://45.207.205.213:19890/trams/735/playlist.m3u8?token=abcdsoooyu888
中天娱乐 CTI Entertaiment,http://45.207.205.213:19890/trams/529/playlist.m3u8?token=abcdsoooyu888
中天综合 CTI Metro,http://45.207.205.213:19890/trams/741/playlist.m3u8?token=abcdsoooyu888
中天亚洲台,http://45.207.205.213:19890/trams/1967/playlist.m3u8?token=abcdsoooyu888
台视 TTV HD,http://45.207.205.213:19890/trams/744/playlist.m3u8?token=abcdsoooyu888
台视综合台,http://45.207.205.213:19890/trams/745/playlist.m3u8?token=abcdsoooyu888
中视 HD,http://45.207.205.213:19890/trams/1988/playlist.m3u8?token=abcdsoooyu888
民视 HD,http://45.207.205.213:19890/trams/2479/playlist.m3u8?token=abcdsoooyu888
民视台湾台,http://45.207.205.213:19890/trams/2033/playlist.m3u8?token=abcdsoooyu888
华视 CTS HD,http://45.207.205.213:19890/trams/2032/playlist.m3u8?token=abcdsoooyu888
公视 CTV,http://45.207.205.213:19890/trams/530/playlist.m3u8?token=abcdsoooyu888
八大第一 GTV First,http://45.207.205.213:19890/trams/752/playlist.m3u8?token=abcdsoooyu888
八大综合 GTV Metro,http://45.207.205.213:19890/trams/754/playlist.m3u8?token=abcdsoooyu888
八大戏剧 GTV Drama,http://45.207.205.213:19890/trams/753/playlist.m3u8?token=abcdsoooyu888
八大娱乐 GTV Entertainment,http://45.207.205.213:19890/trams/110/playlist.m3u8?token=abcdsoooyu888
HBO_HD,http://45.207.205.213:19890/trams/898/playlist.m3u8?token=abcdsoooyu888
